epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,834.759,1.32519,0.75076,1.18735,0.8635,0.81874,0.88909,0.46997,1.66921,0.881,1.38286,0.000990365,0.000990365,0.000990365
43,856.187,1.32065,0.74261,1.18768,0.86387,0.83056,0.86963,0.44296,1.70246,0.91403,1.40351,0.000973861,0.000973861,0.000973861
44,876.611,1.31728,0.72795,1.16948,0.855,0.78891,0.86083,0.45412,1.65433,0.89921,1.38382,0.000957358,0.000957358,0.000957358
45,896.541,1.29811,0.73286,1.17038,0.81578,0.81382,0.87214,0.44788,1.66765,0.92531,1.3804,0.000940855,0.000940855,0.000940855
46,917.016,1.32442,0.73767,1.18341,0.85643,0.77254,0.85877,0.45603,1.66461,0.86944,1.40089,0.000924352,0.000924352,0.000924352
47,936.347,1.30069,0.71906,1.1647,0.84407,0.8083,0.87804,0.4575,1.66507,0.84827,1.39098,0.000907848,0.000907848,0.000907848
48,956.476,1.27961,0.72381,1.15424,0.837,0.79735,0.85894,0.448,1.66852,0.90744,1.40389,0.000891345,0.000891345,0.000891345
49,977.104,1.26517,0.68392,1.15185,0.89442,0.83709,0.8942,0.47013,1.66324,0.82522,1.38532,0.000874842,0.000874842,0.000874842
50,996.413,1.26377,0.69339,1.15223,0.8323,0.81074,0.85745,0.46092,1.63019,0.91163,1.37956,0.000858338,0.000858338,0.000858338
51,1015.91,1.26953,0.70167,1.14179,0.86638,0.78711,0.87102,0.44896,1.69592,0.84742,1.41911,0.000841835,0.000841835,0.000841835
52,1035.38,1.25041,0.68452,1.14187,0.85799,0.80205,0.86808,0.46876,1.66398,0.83286,1.40158,0.000825332,0.000825332,0.000825332
53,1055.09,1.26022,0.68221,1.1457,0.85406,0.75345,0.84334,0.44853,1.6765,0.8554,1.38838,0.000808828,0.000808828,0.000808828
54,1075.31,1.25228,0.68622,1.14249,0.90281,0.77133,0.86573,0.45715,1.69379,0.84812,1.42105,0.000792325,0.000792325,0.000792325
55,1095.22,1.23722,0.67058,1.13761,0.8597,0.8471,0.88555,0.4647,1.68186,0.83822,1.40444,0.000775822,0.000775822,0.000775822
56,1114.57,1.22174,0.66812,1.11954,0.81077,0.80803,0.85209,0.45424,1.65844,0.89368,1.39857,0.000759318,0.000759318,0.000759318
