epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
21,259.403,1.57465,1.02585,1.2214,0.82578,0.70748,0.7906,0.40153,1.67291,1.07097,1.25459,0.00133693,0.00133693,0.00133693
22,273.944,1.58183,1.02543,1.23955,0.79588,0.68581,0.75229,0.37121,1.76778,1.10426,1.2961,0.00132043,0.00132043,0.00132043
23,288.031,1.59543,1.05513,1.22781,0.79503,0.6865,0.75914,0.38298,1.73324,1.06475,1.29301,0.00130393,0.00130393,0.00130393
24,302.303,1.55817,1.01039,1.21097,0.84313,0.70564,0.79109,0.39869,1.7063,1.01047,1.28138,0.00128742,0.00128742,0.00128742
25,317.167,1.54248,0.9965,1.19986,0.80282,0.70618,0.78002,0.36635,1.80397,1.0701,1.33664,0.00127092,0.00127092,0.00127092
26,332.14,1.56389,0.99226,1.21804,0.76285,0.70755,0.76997,0.38904,1.75754,1.03275,1.31285,0.00125442,0.00125442,0.00125442
27,345.88,1.52047,0.97392,1.20127,0.83221,0.7014,0.78748,0.40455,1.70409,1.0158,1.27228,0.00123791,0.00123791,0.00123791
28,360.597,1.49524,0.94955,1.18553,0.79753,0.7046,0.7724,0.38303,1.73702,1.05842,1.3126,0.00122141,0.00122141,0.00122141
29,374.991,1.51614,0.94616,1.20028,0.86902,0.68373,0.79446,0.38929,1.72738,1.01427,1.3023,0.00120491,0.00120491,0.00120491
30,388.043,1.50003,0.94701,1.18254,0.79983,0.70817,0.79296,0.38613,1.76436,1.06762,1.29534,0.0011884,0.0011884,0.0011884
31,401.157,1.5151,0.94387,1.18101,0.80313,0.68428,0.76243,0.38096,1.73747,1.00832,1.29805,0.0011719,0.0011719,0.0011719
32,413.721,1.48419,0.91791,1.18279,0.75526,0.75988,0.78047,0.39527,1.75576,1.00876,1.30609,0.0011554,0.0011554,0.0011554
33,426.664,1.47959,0.90963,1.18084,0.82535,0.67366,0.78132,0.37659,1.8016,1.02443,1.34952,0.00113889,0.00113889,0.00113889
34,440.189,1.48329,0.9104,1.18394,0.80031,0.72669,0.78785,0.3812,1.75694,1.02602,1.31019,0.00112239,0.00112239,0.00112239
35,452.982,1.46454,0.89203,1.16902,0.79131,0.7014,0.79264,0.39515,1.76575,1.05612,1.33529,0.00110589,0.00110589,0.00110589
36,465.745,1.46835,0.88947,1.16928,0.81449,0.69187,0.76936,0.38884,1.7433,1.07307,1.31467,0.00108938,0.00108938,0.00108938
37,478.639,1.4637,0.8946,1.16737,0.8032,0.70362,0.77784,0.38993,1.72424,1.00266,1.2995,0.00107288,0.00107288,0.00107288
38,491.355,1.44466,0.88275,1.16022,0.80421,0.73501,0.78335,0.40721,1.69822,0.98689,1.29112,0.00105638,0.00105638,0.00105638
39,504.454,1.41823,0.85333,1.14352,0.80189,0.72769,0.78767,0.40936,1.71569,0.97999,1.30721,0.00103987,0.00103987,0.00103987
40,517.329,1.43516,0.85541,1.15843,0.80389,0.72402,0.78774,0.38771,1.74876,1.04729,1.30794,0.00102337,0.00102337,0.00102337
41,530.009,1.44569,0.86563,1.15429,0.82257,0.73626,0.79968,0.40459,1.72397,0.95735,1.30186,0.00100687,0.00100687,0.00100687
42,542.542,1.42314,0.85474,1.14796,0.832,0.75827,0.83148,0.41299,1.72422,0.89672,1.30852,0.000990365,0.000990365,0.000990365
43,555.078,1.4044,0.82743,1.13782,0.82353,0.75262,0.81386,0.40911,1.72225,0.94802,1.29826,0.000973861,0.000973861,0.000973861
44,567.247,1.40606,0.8199,1.1364,0.80217,0.7311,0.78297,0.38832,1.74353,1.02643,1.29592,0.000957358,0.000957358,0.000957358
45,579.483,1.39269,0.81443,1.12982,0.8035,0.74016,0.79033,0.38854,1.72831,1.03982,1.31127,0.000940855,0.000940855,0.000940855
46,590.301,1.40547,0.82501,1.14051,0.82816,0.78593,0.81418,0.40408,1.72933,0.93749,1.31379,0.000924352,0.000924352,0.000924352
47,601.134,1.39105,0.80678,1.12985,0.82451,0.75595,0.81869,0.40504,1.76256,0.93581,1.32182,0.000907848,0.000907848,0.000907848
48,612.404,1.38046,0.82379,1.12148,0.87864,0.74321,0.82369,0.40625,1.72525,0.93437,1.29863,0.000891345,0.000891345,0.000891345
49,623.716,1.37069,0.78324,1.12047,0.8455,0.76407,0.81882,0.41534,1.68789,0.95995,1.29637,0.000874842,0.000874842,0.000874842
50,634.651,1.36267,0.77369,1.11982,0.79936,0.75878,0.80661,0.4039,1.75301,0.99997,1.32738,0.000858338,0.000858338,0.000858338
51,645.535,1.3579,0.78044,1.11075,0.80484,0.75516,0.80484,0.39714,1.76913,0.971,1.31403,0.000841835,0.000841835,0.000841835
52,656.259,1.3476,0.76306,1.11219,0.81192,0.76319,0.80378,0.41561,1.71493,0.93561,1.2974,0.000825332,0.000825332,0.000825332
53,667.931,1.35305,0.78576,1.11656,0.81103,0.73009,0.79459,0.40892,1.71069,0.96372,1.29639,0.000808828,0.000808828,0.000808828
54,678.591,1.33314,0.76723,1.10789,0.80767,0.78821,0.81364,0.40899,1.75532,0.92084,1.32232,0.000792325,0.000792325,0.000792325
55,689.738,1.32054,0.75971,1.09772,0.84541,0.74796,0.81508,0.41514,1.70632,0.93384,1.30488,0.000775822,0.000775822,0.000775822
56,700.699,1.328,0.7624,1.10365,0.79585,0.77934,0.81842,0.42612,1.67341,0.91472,1.29565,0.000759318,0.000759318,0.000759318
57,712.259,1.29729,0.74317,1.10105,0.81544,0.74866,0.79855,0.39407,1.74111,0.91275,1.32136,0.000742815,0.000742815,0.000742815
58,723.856,1.32232,0.75868,1.11445,0.81636,0.76025,0.81469,0.41726,1.69786,0.95542,1.30327,0.000726312,0.000726312,0.000726312
59,735.677,1.32115,0.75718,1.09134,0.81336,0.74117,0.80617,0.41179,1.69715,0.92369,1.29374,0.000709809,0.000709809,0.000709809
60,746.568,1.30524,0.73453,1.09206,0.80216,0.72208,0.79453,0.41087,1.69771,0.95007,1.29343,0.000693305,0.000693305,0.000693305
61,757.943,1.30912,0.73219,1.09676,0.85873,0.74043,0.81549,0.42018,1.69922,0.91209,1.29206,0.000676802,0.000676802,0.000676802
62,769.087,1.29464,0.72474,1.08324,0.81954,0.78413,0.82604,0.41984,1.70423,0.92502,1.29161,0.000660299,0.000660299,0.000660299
63,780.219,1.28979,0.73524,1.08557,0.86822,0.71604,0.81784,0.42098,1.70638,0.93658,1.30852,0.000643795,0.000643795,0.000643795
64,791.022,1.29069,0.72402,1.08643,0.84374,0.75121,0.81545,0.41579,1.70488,0.88296,1.30645,0.000627292,0.000627292,0.000627292
65,802.003,1.2978,0.72913,1.08792,0.81875,0.7477,0.79399,0.40543,1.70999,0.91533,1.31002,0.000610789,0.000610789,0.000610789
66,813.15,1.25107,0.70021,1.06806,0.82776,0.79287,0.82107,0.41649,1.70876,0.92793,1.29595,0.000594286,0.000594286,0.000594286
67,824.543,1.26421,0.69947,1.07092,0.83597,0.74756,0.82346,0.43289,1.64922,0.87292,1.26866,0.000577782,0.000577782,0.000577782
68,835.816,1.26082,0.6961,1.07699,0.86774,0.78205,0.82874,0.42649,1.70659,0.90452,1.27766,0.000561279,0.000561279,0.000561279
69,846.65,1.25425,0.69546,1.06785,0.83138,0.77325,0.81218,0.42134,1.69817,0.90359,1.29185,0.000544776,0.000544776,0.000544776
70,857.354,1.23743,0.68744,1.06225,0.78903,0.76028,0.79772,0.4031,1.75464,0.95898,1.32292,0.000528272,0.000528272,0.000528272
71,868.643,1.23212,0.68407,1.05922,0.87561,0.74425,0.82125,0.41763,1.69932,0.90967,1.29899,0.000511769,0.000511769,0.000511769
72,879.797,1.23926,0.68235,1.06364,0.81731,0.77526,0.81579,0.42151,1.70681,0.92441,1.29813,0.000495266,0.000495266,0.000495266
73,890.663,1.2345,0.67118,1.06206,0.81478,0.7935,0.81795,0.42015,1.72891,0.91608,1.31893,0.000478762,0.000478762,0.000478762
74,901.406,1.22183,0.66924,1.05377,0.80746,0.79638,0.81895,0.42023,1.71273,0.89865,1.29293,0.000462259,0.000462259,0.000462259
75,912.473,1.23632,0.67384,1.0585,0.81682,0.75416,0.82077,0.41149,1.71262,0.91729,1.3201,0.000445756,0.000445756,0.000445756
76,923.866,1.19527,0.66554,1.05322,0.84021,0.75359,0.82705,0.41943,1.75145,0.91276,1.34316,0.000429253,0.000429253,0.000429253
77,935.341,1.20797,0.66404,1.05128,0.81232,0.77932,0.82677,0.41662,1.71876,0.90803,1.30306,0.000412749,0.000412749,0.000412749
78,946.922,1.19133,0.64511,1.03994,0.80275,0.77321,0.82168,0.4198,1.72232,0.91436,1.29354,0.000396246,0.000396246,0.000396246
79,958.376,1.19575,0.64673,1.03926,0.84955,0.75607,0.82442,0.42761,1.71851,0.87918,1.31364,0.000379743,0.000379743,0.000379743
80,969.326,1.17846,0.65057,1.04367,0.82249,0.76407,0.83034,0.42454,1.71025,0.89337,1.30757,0.000363239,0.000363239,0.000363239
81,980.598,1.16606,0.6307,1.03603,0.80105,0.7786,0.8228,0.41937,1.68857,0.88281,1.2979,0.000346736,0.000346736,0.000346736
82,992.311,1.16247,0.64104,1.0274,0.84791,0.75988,0.81645,0.42115,1.69935,0.8998,1.30543,0.000330233,0.000330233,0.000330233
83,1003.72,1.16385,0.64133,1.03589,0.82365,0.7594,0.8125,0.42031,1.69993,0.90836,1.30393,0.000313729,0.000313729,0.000313729
84,1014.47,1.15702,0.62043,1.04032,0.84507,0.76296,0.81304,0.42112,1.68476,0.92581,1.28649,0.000297226,0.000297226,0.000297226
85,1025.58,1.14392,0.62625,1.02205,0.85764,0.71437,0.80569,0.41912,1.6912,0.91781,1.29881,0.000280723,0.000280723,0.000280723
86,1037.16,1.14328,0.61813,1.02338,0.83084,0.7952,0.82807,0.41907,1.72391,0.90453,1.31815,0.00026422,0.00026422,0.00026422
87,1048.63,1.13245,0.61426,1.02325,0.84068,0.79494,0.83158,0.43595,1.69648,0.88918,1.30047,0.000247716,0.000247716,0.000247716
88,1059.99,1.15012,0.62074,1.0243,0.83194,0.77823,0.81854,0.42532,1.70848,0.90234,1.31755,0.000231213,0.000231213,0.000231213
89,1071.57,1.1328,0.60803,1.01099,0.81701,0.78111,0.81931,0.42333,1.70497,0.89834,1.30479,0.00021471,0.00021471,0.00021471
90,1083.78,1.12,0.6026,1.01531,0.82208,0.76841,0.82659,0.42487,1.7028,0.89328,1.33054,0.000198206,0.000198206,0.000198206
91,1121.27,1.14249,0.58385,1.01848,0.82515,0.72087,0.80452,0.41662,1.70782,0.88121,1.33865,0.000181703,0.000181703,0.000181703
92,1132.73,1.08832,0.5462,0.99942,0.8314,0.73532,0.80688,0.41489,1.71739,0.89227,1.33316,0.0001652,0.0001652,0.0001652
93,1144.87,1.07699,0.53607,0.98804,0.82935,0.75328,0.82299,0.41936,1.73102,0.8734,1.33219,0.000148696,0.000148696,0.000148696
94,1155.74,1.06749,0.52858,0.98793,0.84306,0.74393,0.81476,0.41632,1.72702,0.8989,1.33818,0.000132193,0.000132193,0.000132193
95,1166.99,1.06117,0.53491,0.98979,0.83386,0.75742,0.8313,0.42703,1.70765,0.86762,1.31815,0.00011569,0.00011569,0.00011569
96,1178.31,1.05284,0.53204,0.98305,0.84576,0.72774,0.81638,0.42014,1.70949,0.88285,1.32759,9.91865e-05,9.91865e-05,9.91865e-05
97,1189.3,1.05483,0.52334,0.98126,0.85757,0.7458,0.83328,0.43127,1.69296,0.86204,1.32447,8.26832e-05,8.26832e-05,8.26832e-05
98,1200.35,1.05516,0.51975,0.989,0.85934,0.76871,0.83627,0.43572,1.70193,0.87356,1.31932,6.61799e-05,6.61799e-05,6.61799e-05
99,1211.17,1.04257,0.52003,0.98126,0.8759,0.75123,0.83964,0.43129,1.69852,0.87131,1.31866,4.96766e-05,4.96766e-05,4.96766e-05
100,1222.45,1.03739,0.50904,0.97916,0.86948,0.74783,0.8298,0.42918,1.70025,0.86555,1.32354,3.31733e-05,3.31733e-05,3.31733e-05
