epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.5371,1.94313,3.0121,1.43783,0.82558,0.11379,0.23226,0.10023,1.936,2.83183,1.49323,0.00054845,0.00054845,0.00054845
2,23.7366,1.86697,2.081,1.40961,0.51729,0.52569,0.50182,0.20269,1.9401,1.98294,1.57526,0.00109319,0.00109319,0.00109319
3,34.8552,1.88007,1.85744,1.41511,0.48925,0.40353,0.37451,0.17923,1.91027,2.16105,1.47778,0.00162692,0.00162692,0.00162692
4,45.8271,1.85435,1.72605,1.39067,0.63216,0.46473,0.50833,0.2254,1.8982,1.79742,1.43241,0.00161749,0.00161749,0.00161749
5,56.6841,1.82083,1.57342,1.38649,0.76859,0.61194,0.64528,0.27939,1.97389,1.50664,1.47066,0.00160099,0.00160099,0.00160099
6,67.5617,1.80759,1.49349,1.36457,0.57886,0.50648,0.51105,0.2134,1.95238,1.80478,1.49322,0.00158448,0.00158448,0.00158448
7,78.621,1.7768,1.4087,1.34192,0.71782,0.59252,0.67179,0.30556,1.8305,1.54275,1.35539,0.00156798,0.00156798,0.00156798
8,90.0232,1.76957,1.37528,1.34007,0.74545,0.62382,0.68379,0.28771,1.90403,1.43074,1.41019,0.00155148,0.00155148,0.00155148
9,101.874,1.7233,1.29756,1.3141,0.76212,0.62518,0.71191,0.33186,1.80941,1.25051,1.34336,0.00153497,0.00153497,0.00153497
10,113.659,1.72958,1.30121,1.3098,0.73046,0.6592,0.70222,0.30835,1.8632,1.31487,1.36247,0.00151847,0.00151847,0.00151847
11,125.13,1.72477,1.27944,1.30309,0.63158,0.65579,0.67834,0.3322,1.78033,1.33175,1.31583,0.00150197,0.00150197,0.00150197
12,136.532,1.68397,1.24352,1.28625,0.80199,0.63222,0.72413,0.33258,1.84997,1.23239,1.3789,0.00148546,0.00148546,0.00148546
13,147.822,1.66535,1.16819,1.29126,0.78963,0.60166,0.713,0.32689,1.81259,1.31473,1.34996,0.00146896,0.00146896,0.00146896
14,159.08,1.68144,1.19125,1.29727,0.77005,0.61765,0.67982,0.31355,1.84494,1.26598,1.3768,0.00145246,0.00145246,0.00145246
15,172.147,1.66199,1.15305,1.27771,0.7822,0.6578,0.73656,0.37873,1.74447,1.1972,1.3053,0.00143595,0.00143595,0.00143595
16,186.672,1.62794,1.13745,1.25336,0.73577,0.58405,0.65038,0.29852,1.89188,1.3429,1.36873,0.00141945,0.00141945,0.00141945
17,201.506,1.63406,1.13708,1.25617,0.68855,0.69684,0.73706,0.35666,1.78113,1.17856,1.32245,0.00140295,0.00140295,0.00140295
18,215.682,1.59126,1.08129,1.23763,0.7429,0.61243,0.6847,0.34742,1.73907,1.1979,1.30163,0.00138644,0.00138644,0.00138644
19,229.713,1.59837,1.07573,1.2385,0.74226,0.70632,0.73294,0.3667,1.75213,1.14434,1.29517,0.00136994,0.00136994,0.00136994
20,244.89,1.59508,1.06868,1.23041,0.78608,0.70719,0.78134,0.38566,1.74375,1.107,1.31577,0.00135344,0.00135344,0.00135344
